User_ID,Name,Income_Source,Declared_Income,Account_Number
c77b1621-b294-460e-850b-521c6ab4e548,Karen Moore,Salaried,36556,JNKC48095583595957
08fa0265-667b-4578-b263-3c4b0289902c,Dr. Jacqueline Pena,Freelancer,94196,IADR97789922079891
529dc208-dd31-4c89-859e-b5cfe19e65b7,Mary Cook,Business,66579,OKCR18417072036691
7acc2f05-e835-4024-bde2-6c6c08aab109,Amanda Cameron,Salaried,172964,CRRB79935862426250
93c0215e-e208-4589-bcfc-88a506f66489,Taylor Andrews,Salaried,184794,GVPT88713220754569
f4b3d258-f5b1-433d-872f-b62dabfa959c,Kelly Moreno,Investor,38331,XPAH86022390751898
acbf16f8-256f-4514-99e3-5d08a9042b07,Briana Perez,Salaried,54561,VCLI43569157383986
c93d59a1-c50f-4167-9916-c62c19beae4c,Vickie Yang,Business,90990,DYKR52813430067635
a2f829c9-bfe1-42ec-a2bb-1b4d5f9f5651,Andrew Bennett,Salaried,177127,TNVL40411533656964
186340de-904b-4283-a313-abdf7922e321,Julie Daniels,Business,172853,RTEC85169887644225
1155313d-e25f-47f3-ae68-298d4ac40d54,Danielle Alexander,Investor,87787,CWGO83170535167453
ffb12591-4528-40d2-a584-508adb11d465,Rachel Johnston,Investor,184472,LMIO88455745715122
445c5c49-9a9b-457e-a1b2-47859aebd078,Jillian Meyer,Freelancer,31703,AYOP43858745725175
7e07ea46-8ff0-4cb2-90b5-a5e5c1e0d039,Mrs. Susan Walker,Business,140785,LMHR47663653798241
1d099e64-afc4-43c9-a337-1d6743ab4ee2,Claudia Hicks,Freelancer,102842,SPFG83226016301147
9d9e808c-60a1-4c0a-843c-d683d01a46ce,Melissa Cortez,Business,86443,OOPX02834950215376
124ef677-c0eb-4e19-9734-a4b8c20a2bb5,Julia Blair,Freelancer,56793,UDED81470570185105
93e16060-6155-40c4-b18c-2cc64c9a14e4,Matthew Miller,Salaried,129595,AJDE33956204579830
0bbe1121-2773-4043-9fa7-15f78f974993,Jennifer Patel,Salaried,124104,EUFZ81169989254785
f9cfd51c-50e2-40c1-8484-cc1fdce1adbd,Vanessa Sutton,Freelancer,188263,HYDN42489247854096
44dc3bec-df41-4f47-8adb-43721c730d4c,Miss Ann Schroeder,Freelancer,41390,LXVZ61512352927273
4aa43865-fe5b-4ffa-95e9-06feb975d8f6,Paul Coffey,Investor,170568,FZYZ82977897333765
999f696f-1544-44f9-a587-553c111ccd47,Marc Wilson,Salaried,129230,BVAB69512547710072
9f18f025-2842-4f9f-9569-5c70ed76bd55,Emma Mora,Salaried,174714,KRJP29565861754600
b2b06453-0f82-48de-b3d8-d3582cf75c58,Brandon Lawrence,Freelancer,194794,YSMG70513608826298
